Rank,Name,Symbol,Price (USD),Market Cap,Vol (24H),Total Vol,Chg (24H),Chg (7D),Dataset Availability
61,Neo,NEO,26.9738,$1.90B,$198.90M,0.18%,-2.43%,+0.87%,True
62,Harmony,ONE,0.15905,$1.90B,$149.33M,0.14%,-4.13%,-4.49%,True
63,Stacks,STX,1.44,$1.88B,$37.15M,0.03%,-4.51%,-1.84%,True
64,Bitcoin SV,BSV,96.99,$1.84B,$165.03M,0.15%,-2.54%,-1.60%,True
65,Celo,CELO,4.16,$1.81B,$599.14M,0.55%,+13.04%,+20.03%,True
66,Gala,GALA,0.25263,$1.76B,$491.98M,0.45%,-3.76%,-11.01%,True
67,Zilliqa,ZIL,0.139371,$1.75B,$2.13B,1.97%,-9.75%,+29.27%,True
68,KuCoin Token,KCS,21.025,$1.68B,$12.46M,0.01%,+1.12%,+5.35%,True
69,Quant,QNT,136.27,$1.64B,$38.47M,0.04%,-2.86%,-9.94%,True
70,Chiliz,CHZ,0.2653,$1.58B,$280.67M,0.26%,-5.66%,-5.42%,True
71,Kusama,KSM,185.8976,$1.57B,$95.33M,0.09%,-6.78%,+2.59%,True
72,Enjin Coin,ENJ,1.751,$1.53B,$174.37M,0.16%,-5.49%,-4.28%,True
73,Huobi Token,HT,9.6863,$1.51B,$35.82M,0.03%,-1.06%,+3.07%,True
74,Loopring,LRC,1.11747,$1.48B,$229.50M,0.21%,-4.58%,-10.31%,True
75,Nexo,NEXO,2.58,$1.43B,$39.78M,0.04%,+4.16%,+5.15%,True
76,Dash,DASH,130.69,$1.39B,$298.07M,0.27%,-0.41%,-3.15%,True
77,Mina,MINA,3.148,$1.39B,$130.02M,0.12%,+15.61%,+14.42%,True
78,TrueUSD,TUSD,0.9998,$1.37B,$151.96M,0.14%,0%,+0.05%,True
79,Curve DAO Token,CRV,2.8877,$1.36B,$268.33M,0.25%,-1.31%,+6.87%,True
80,Basic Attention Token,BAT,0.8812,$1.32B,$152.44M,0.14%,-5.68%,-4.84%,True
81,STEPN,GMT,2.1575,$1.29B,$1.54B,1.42%,-9.19%,+101.06%,True
82,Arweave,AR,38.13,$1.27B,$49.48M,0.05%,-4.48%,-4.00%,True
83,Kadena,KDA,7.3524,$1.25B,$107.14M,0.10%,-2.87%,+2.10%,True
84,OKB,OKB,20.687,$1.24B,$79.38M,0.07%,-1.44%,-9.61%,True
85,Amp,AMP,0.02792,$1.18B,$43.36M,0.04%,-0.07%,-1.13%,True
86,Holo,HOT,0.006611,$1.14B,$234.99M,0.22%,-1.62%,+0.07%,True
87,Compound,COMP,160.3,$1.07B,$220.40M,0.20%,-2.85%,+20.04%,True
88,Oasis Network,ROSE,0.3059,$1.06B,$249.98M,0.23%,+3.23%,+5.35%,True
89,Moonbeam,GLMR,5.1029,$1.06B,$490.34M,0.45%,+3.93%,+59.24%,False
90,Theta Fuel,TFUEL,0.1983,$1.05B,$38.71M,0.04%,-8.62%,-0.73%,True
91,NEM,XEM,0.11611,$1.04B,$26.61M,0.02%,-5.24%,-1.74%,True
92,Secret,SCRT,6.134,$1.00B,$29.03M,0.03%,-3.13%,+13.35%,True
93,Pax Dollar,USDP,0.9998,$949.99M,$4.58M,0%,+0.02%,+0.41%,True
94,Audius,AUDIO,1.53,$948.78M,$286.77M,0.26%,+4.72%,+37.57%,True
95,ICON,ICX,0.99828,$917.91M,$46.60M,0.04%,-4.92%,+0.49%,True
96,IoTeX,IOTX,0.094396,$899.94M,$42.91M,0.04%,-6.94%,-0.63%,True
97,SKALE Network,SKL,0.2545,$887.01M,$83.41M,0.08%,-5.07%,+39.74%,True
98,BORA,BORA,1.0167,$878.69M,$318.05M,0.29%,+2.49%,+7.31%,True
99,Decred,DCR,63.1511,$875.95M,$3.83M,0%,-2.45%,-5.76%,True
100,yearn.finance,YFI,23256.03,$852.27M,$186.82M,0.17%,-6.11%,+2.06%,True
